ScanID,Acc_Mean,Comp_Mean,Overall
1,0.207690,0.124771,0.166231
4,0.233401,0.275800,0.254600
9,0.307637,0.224165,0.265901
10,0.255876,0.130974,0.193425
11,0.292620,0.296443,0.294531
12,0.302974,0.168675,0.235825
13,0.254689,0.232728,0.243709
15,0.302201,0.202820,0.252510
23,0.291098,0.224492,0.257795
24,0.257490,0.229493,0.243492
29,0.447153,0.593989,0.520571
32,0.297930,0.228566,0.263248
33,0.329171,0.343583,0.336377
34,0.238609,0.180541,0.209575
48,0.295008,0.672402,0.483705
49,0.439579,0.335956,0.387768
62,0.281871,0.314441,0.298156
75,0.472698,0.194823,0.333760
77,0.641854,0.327140,0.484497
110,0.312499,0.190834,0.251666
114,0.215099,0.156888,0.185993
118,0.224777,0.250062,0.237419
,,,
AVERAGE,0.313724,0.268163,0.290943
