ScanID,Acc_Mean,Comp_Mean,Overall
1,0.214488,0.131464,0.172976
4,0.249241,0.281524,0.265383
9,0.308239,0.221605,0.264922
10,0.252560,0.124657,0.188608
11,0.285107,0.298067,0.291587
12,0.302657,0.171848,0.237253
13,0.248990,0.274316,0.261653
15,0.298461,0.202461,0.250461
23,0.288433,0.219952,0.254192
24,0.249970,0.219998,0.234984
29,0.411701,0.552296,0.481999
32,0.304913,0.223284,0.264098
33,0.319391,0.363833,0.341612
34,0.237418,0.176727,0.207073
48,0.280172,0.668887,0.474530
49,0.438371,0.323146,0.380759
62,0.276748,0.306763,0.291755
75,0.466229,0.179800,0.323014
77,0.646167,0.308106,0.477137
110,0.321724,0.195276,0.258500
114,0.211814,0.156220,0.184017
118,0.227971,0.246633,0.237302
,,,
AVERAGE,0.310944,0.265767,0.288355
