ScanID,Acc_Mean,Comp_Mean,Overall
1,0.219578,0.133646,0.176612
4,0.255430,0.275612,0.265521
9,0.314345,0.219112,0.266728
10,0.255909,0.124271,0.190090
11,0.281410,0.286048,0.283729
12,0.305749,0.168098,0.236923
13,0.249824,0.226309,0.238067
15,0.302203,0.197884,0.250043
23,0.296331,0.216704,0.256517
24,0.264795,0.220559,0.242677
29,0.398543,0.488034,0.443288
32,0.293877,0.218938,0.256407
33,0.310770,0.310194,0.310482
34,0.220472,0.161307,0.190890
48,0.295389,0.584488,0.439938
49,0.431568,0.313498,0.372533
62,0.272283,0.280112,0.276197
75,0.469691,0.168327,0.319009
77,0.657808,0.307221,0.482514
110,0.321827,0.189597,0.255712
114,0.215416,0.154698,0.185057
118,0.244242,0.246135,0.245188
,,,
AVERAGE,0.312612,0.249581,0.281097
