ScanID,Acc_Mean,Comp_Mean,Overall
1,0.220418,0.134761,0.177589
4,0.254400,0.277070,0.265735
9,0.311013,0.216276,0.263645
10,0.256221,0.125463,0.190842
11,0.289414,0.300550,0.294982
12,0.297071,0.163217,0.230144
13,0.247862,0.238994,0.243428
15,0.299823,0.199393,0.249608
23,0.293069,0.218457,0.255763
24,0.254553,0.219627,0.237090
29,0.420989,0.576230,0.498609
32,0.300198,0.221541,0.260869
33,0.319687,0.347569,0.333628
34,0.234342,0.174158,0.204250
48,0.299501,0.620100,0.459801
49,0.428455,0.312635,0.370545
62,0.274991,0.281366,0.278179
75,0.457545,0.186527,0.322036
77,0.657920,0.306640,0.482280
110,0.320248,0.189279,0.254764
114,0.217936,0.158796,0.188366
118,0.233658,0.248632,0.241145
,,,
AVERAGE,0.313151,0.259876,0.286514
