ScanID,Acc_Mean,Comp_Mean,Overall
1,0.220321,0.134773,0.177547
4,0.254065,0.281126,0.267596
9,0.310261,0.218503,0.264382
10,0.255566,0.125618,0.190592
11,0.288921,0.305598,0.297259
12,0.295994,0.164646,0.230320
13,0.247501,0.238062,0.242781
15,0.299103,0.200900,0.250001
23,0.292172,0.220516,0.256344
24,0.254054,0.219549,0.236801
29,0.417391,0.539364,0.478377
32,0.299012,0.223687,0.261350
33,0.319180,0.348328,0.333754
34,0.233933,0.174856,0.204395
48,0.296076,0.665874,0.480975
49,0.427240,0.318077,0.372658
62,0.274171,0.289230,0.281700
75,0.454671,0.187220,0.320946
77,0.655703,0.307073,0.481388
110,0.320948,0.190164,0.255556
114,0.217865,0.158847,0.188356
118,0.233593,0.252640,0.243117
,,,
AVERAGE,0.312170,0.262030,0.287100
