ScanID,Acc_Mean,Comp_Mean,Overall
1,0.214911,0.127925,0.171418
4,0.246055,0.278825,0.262440
9,0.310242,0.221906,0.266074
10,0.254897,0.125310,0.190104
11,0.293302,0.300908,0.297105
12,0.305468,0.172835,0.239152
13,0.267524,0.244409,0.255967
15,0.299177,0.199646,0.249411
23,0.291320,0.219743,0.255531
24,0.255365,0.222935,0.239150
29,0.415155,0.542482,0.478818
32,0.299557,0.228673,0.264115
33,0.307312,0.329385,0.318348
34,0.233509,0.174484,0.203997
48,0.293126,0.601628,0.447377
49,0.431802,0.327142,0.379472
62,0.282710,0.311544,0.297127
75,0.471704,0.185506,0.328605
77,0.662079,0.302886,0.482483
110,0.323592,0.181453,0.252522
114,0.219660,0.155561,0.187611
118,0.243283,0.248939,0.246111
,,,
AVERAGE,0.314625,0.259278,0.286952
