ScanID,Acc_Mean,Comp_Mean,Overall
1,0.215460,0.129230,0.172345
4,0.250408,0.282422,0.266415
9,0.308914,0.221650,0.265282
10,0.254438,0.124740,0.189589
11,0.291074,0.296269,0.293672
12,0.307964,0.178019,0.242991
13,0.263919,0.232892,0.248406
15,0.302869,0.201250,0.252060
23,0.294486,0.220081,0.257284
24,0.256957,0.228763,0.242860
29,0.423253,0.519336,0.471295
32,0.299609,0.225839,0.262724
33,0.315744,0.333033,0.324389
34,0.232799,0.171964,0.202382
48,0.298519,0.590396,0.444458
49,0.438811,0.327521,0.383166
62,0.282950,0.302787,0.292868
75,0.469533,0.182886,0.326209
77,0.675105,0.309545,0.492325
110,0.323036,0.192940,0.257988
114,0.215533,0.155157,0.185345
118,0.235104,0.237678,0.236391
,,,
AVERAGE,0.316204,0.257473,0.286838
