ScanID,Acc_Mean,Comp_Mean,Overall
1,0.218542,0.134165,0.176353
4,0.252248,0.281417,0.266833
9,0.307070,0.220737,0.263904
10,0.253697,0.124961,0.189329
11,0.286239,0.303041,0.294640
12,0.298865,0.172405,0.235635
13,0.245967,0.254639,0.250303
15,0.297200,0.201287,0.249243
23,0.289162,0.218212,0.253687
24,0.250495,0.217535,0.234015
29,0.417681,0.513728,0.465705
32,0.308095,0.224530,0.266312
33,0.319821,0.323313,0.321567
34,0.226849,0.164994,0.195921
48,0.295674,0.566712,0.431193
49,0.437788,0.327085,0.382436
62,0.277356,0.298490,0.287923
75,0.477184,0.179731,0.328457
77,0.658689,0.314975,0.486832
110,0.319425,0.182722,0.251073
114,0.215311,0.156826,0.186068
118,0.239254,0.251502,0.245378
,,,
AVERAGE,0.313301,0.256046,0.284673
