ScanID,Acc_Mean,Comp_Mean,Overall
1,0.215731,0.130807,0.173269
4,0.247449,0.282683,0.265066
9,0.306272,0.221915,0.264093
10,0.253417,0.125257,0.189337
11,0.279539,0.291309,0.285424
12,0.297238,0.168229,0.232733
13,0.254969,0.239508,0.247239
15,0.299671,0.204687,0.252179
23,0.291816,0.223404,0.257610
24,0.249447,0.219193,0.234320
29,0.421775,0.497876,0.459825
32,0.305893,0.232990,0.269442
33,0.323221,0.347863,0.335542
34,0.239388,0.177264,0.208326
48,0.282713,0.663882,0.473297
49,0.434724,0.338214,0.386469
62,0.274129,0.297535,0.285832
75,0.472672,0.179363,0.326017
77,0.629789,0.313793,0.471791
110,0.326018,0.193139,0.259578
114,0.213633,0.156630,0.185132
118,0.231936,0.241557,0.236747
,,,
AVERAGE,0.311429,0.261232,0.286330
