ScanID,Acc_Mean,Comp_Mean,Overall
1,0.218654,0.147591,0.183123
4,0.246509,0.296470,0.271490
9,0.323134,0.243569,0.283352
10,0.270453,0.145927,0.208190
11,0.308780,0.317454,0.313117
12,0.321514,0.192896,0.257205
13,0.265784,0.250752,0.258268
15,0.321970,0.223515,0.272742
23,0.309897,0.243685,0.276791
24,0.276571,0.251417,0.263994
29,0.477123,0.563137,0.520130
32,0.324005,0.238979,0.281492
33,0.346868,0.364025,0.355447
34,0.248919,0.200111,0.224515
48,0.332270,0.690023,0.511146
49,0.467482,0.356735,0.412109
62,0.302641,0.334987,0.318814
75,0.532328,0.217033,0.374680
77,0.663051,0.348115,0.505583
110,0.333010,0.213741,0.273375
114,0.225496,0.180011,0.202753
118,0.236662,0.272149,0.254406

AVERAGE,0.334233,0.286015,0.310124
