ScanID,Acc_Mean,Comp_Mean,Overall
1,0.225172,0.153677,0.189425
4,0.261910,0.302080,0.281995
9,0.323872,0.240714,0.282293
10,0.266374,0.144091,0.205233
11,0.302513,0.319992,0.311252
12,0.321727,0.195840,0.258784
13,0.259540,0.293650,0.276595
15,0.316921,0.223269,0.270095
23,0.306255,0.239179,0.272717
24,0.267294,0.242128,0.254711
29,0.441131,0.502449,0.471790
32,0.330887,0.235839,0.283363
33,0.337967,0.384346,0.361157
34,0.250496,0.197538,0.224017
48,0.314811,0.686772,0.500791
49,0.465253,0.344171,0.404712
62,0.297042,0.327470,0.312256
75,0.521587,0.202726,0.362157
77,0.661023,0.329797,0.495410
110,0.341602,0.218435,0.280019
114,0.221864,0.179484,0.200674
118,0.239764,0.268550,0.254157

AVERAGE,0.330682,0.283282,0.306982
