ScanID,Acc_Mean,Comp_Mean,Overall
1,0.230027,0.155354,0.192691
4,0.268411,0.295045,0.281728
9,0.330640,0.237927,0.284284
10,0.269961,0.143953,0.206957
11,0.299527,0.308860,0.304194
12,0.325143,0.192175,0.258659
13,0.261010,0.239719,0.250364
15,0.320729,0.218694,0.269711
23,0.313603,0.235761,0.274682
24,0.282978,0.242292,0.262635
29,0.431273,0.451220,0.441246
32,0.321348,0.232110,0.276729
33,0.331186,0.331276,0.331231
34,0.232229,0.183046,0.207637
48,0.330529,0.601916,0.466222
49,0.461171,0.334292,0.397731
62,0.293688,0.301253,0.297471
75,0.527553,0.191426,0.359490
77,0.676105,0.329280,0.502693
110,0.341987,0.212770,0.277378
114,0.225820,0.178060,0.201940
118,0.256988,0.267937,0.262463

AVERAGE,0.333268,0.267471,0.300370
