ScanID,Acc_Mean,Comp_Mean,Overall
1,0.231066,0.156506,0.193786
4,0.266597,0.297090,0.281844
9,0.326625,0.236808,0.281716
10,0.271340,0.145090,0.208215
11,0.307864,0.323157,0.315511
12,0.316618,0.187714,0.252166
13,0.259437,0.253464,0.256451
15,0.318071,0.220263,0.269167
23,0.311857,0.237594,0.274726
24,0.272131,0.241683,0.256907
29,0.452908,0.542088,0.497498
32,0.326093,0.235150,0.280621
33,0.341099,0.368007,0.354553
34,0.246692,0.195294,0.220993
48,0.336910,0.637505,0.487208
49,0.457700,0.333887,0.395794
62,0.297155,0.302297,0.299726
75,0.513190,0.209160,0.361175
77,0.674875,0.328218,0.501547
110,0.340562,0.212193,0.276377
114,0.228265,0.181875,0.205070
118,0.246050,0.270514,0.258282

AVERAGE,0.333778,0.277980,0.305879
