ScanID,Acc_Mean,Comp_Mean,Overall
1,0.230931,0.156528,0.193730
4,0.266476,0.301324,0.283900
9,0.325775,0.238975,0.282375
10,0.270184,0.145054,0.207619
11,0.307132,0.328255,0.317693
12,0.315250,0.189010,0.252130
13,0.259009,0.253000,0.256005
15,0.316875,0.221718,0.269296
23,0.310505,0.239655,0.275080
24,0.271154,0.241595,0.256374
29,0.447549,0.520875,0.484212
32,0.324308,0.237395,0.280852
33,0.339403,0.368821,0.354112
34,0.245989,0.195907,0.220948
48,0.331451,0.683375,0.507413
49,0.455038,0.339281,0.397160
62,0.296000,0.310195,0.303097
75,0.509513,0.209747,0.359630
77,0.670131,0.328560,0.499346
110,0.340376,0.213146,0.276761
114,0.228206,0.181865,0.205035
118,0.246038,0.274563,0.260301

AVERAGE,0.332150,0.280857,0.306503
