ScanID,Acc_Mean,Comp_Mean,Overall
1,0.217966,0.146741,0.182353
4,0.242499,0.288490,0.265494
9,0.322758,0.239100,0.280929
10,0.275674,0.148380,0.212027
11,0.306286,0.324649,0.315467
12,0.321912,0.194403,0.258158
13,0.266747,0.222246,0.244496
15,0.315009,0.225164,0.270086
23,0.307398,0.244077,0.275737
24,0.262480,0.245225,0.253853
29,0.487188,0.596180,0.541684
32,0.327868,0.244701,0.286285
33,0.346854,0.353310,0.350082
34,0.250180,0.195246,0.222713
48,0.332458,0.583264,0.457861
49,0.468470,0.341799,0.405134
62,0.299393,0.328853,0.314123
75,0.554087,0.219982,0.387035
77,0.663395,0.335393,0.499394
110,0.336721,0.205897,0.271309
114,0.225273,0.179037,0.202155
118,0.238892,0.269850,0.254371

AVERAGE,0.334978,0.278727,0.306852
