ScanID,Accuracy,Completeness,Overall
scan1,0.227269,0.155487,0.191378
scan4,0.262328,0.293286,0.277807
scan9,0.327004,0.242243,0.284624
scan10,0.264871,0.144537,0.204704
scan11,0.296830,0.305357,0.301094
scan12,0.320975,0.192155,0.256565
scan13,0.264686,0.180721,0.222704
scan15,0.316229,0.221175,0.268702
scan23,0.310148,0.236143,0.273146
scan24,0.270657,0.245655,0.258156
scan29,0.422947,0.473170,0.448059
scan32,0.310683,0.234147,0.272415
scan33,0.331591,0.327576,0.329584
scan34,0.229313,0.183428,0.206371
scan48,0.307154,0.458658,0.382906
scan49,0.449665,0.350004,0.399835
scan62,0.284173,0.313011,0.298592
scan75,0.505135,0.199309,0.352222
scan77,0.689588,0.324517,0.507053
scan110,0.330232,0.211826,0.271029
scan114,0.222201,0.178301,0.200251
scan118,0.251498,0.275215,0.263357
AVERAGE,0.327053,0.261178,0.294116
