ScanID,Acc_Mean,Comp_Mean,Overall
1,0.207507,0.123781,0.165644
4,0.229998,0.267713,0.248856
9,0.306900,0.219311,0.263105
10,0.260362,0.133558,0.196960
11,0.289277,0.302535,0.295906
12,0.302519,0.170083,0.236301
13,0.255695,0.210036,0.232865
15,0.296944,0.204314,0.250629
23,0.288968,0.224995,0.256982
24,0.245095,0.222876,0.233985
29,0.457106,0.629640,0.543373
32,0.303029,0.238130,0.270579
33,0.328826,0.332801,0.330814
34,0.239365,0.175037,0.207201
48,0.297296,0.565654,0.431475
49,0.440457,0.321039,0.380748
62,0.278880,0.308339,0.293610
75,0.494415,0.198377,0.346396
77,0.648922,0.314194,0.481558
110,0.316260,0.182762,0.249511
114,0.214569,0.155817,0.185193
118,0.226831,0.247827,0.237329
,,,
AVERAGE,0.314965,0.261310,0.288137
