ScanID,Acc_Mean,Comp_Mean,Overall
1,0.225841,0.150323,0.188082
4,0.258902,0.299660,0.279281
9,0.325771,0.240713,0.283242
10,0.268612,0.144062,0.206337
11,0.310120,0.322587,0.316353
12,0.325350,0.196477,0.260913
13,0.278246,0.260134,0.269190
15,0.316980,0.220508,0.268744
23,0.309464,0.238838,0.274151
24,0.273143,0.244813,0.258978
29,0.444593,0.507622,0.476108
32,0.324422,0.241014,0.282718
33,0.325118,0.350555,0.337836
34,0.245830,0.195339,0.220584
48,0.325289,0.618810,0.472049
49,0.458485,0.347815,0.403150
62,0.303677,0.332135,0.317906
75,0.531011,0.208121,0.369566
77,0.677738,0.324806,0.501272
110,0.344090,0.204555,0.274322
114,0.230745,0.178831,0.204788
118,0.256522,0.270625,0.263573

AVERAGE,0.334543,0.277197,0.305870
